price,crime_rate,resid_area,air_qual,room_num,age,teachers,poor_prop,n_hos_beds,n_hot_rooms,rainfall,log_crime_rate,moy_dist,airport_YES,waterbody_Lake,waterbody_Lake and River,waterbody_River
24.0,0.00632,32.31,0.5379999999999999,6.575,65.2,24.7,4.98,5.48,11.192,23,0.006300112548479956,4.0875,1,0,0,1
21.6,0.02731,37.07,0.469,6.421,78.9,22.2,9.14,7.332000000000001,12.1728,42,0.02694373544754613,4.9675,0,1,0,0
34.7,0.02729,37.07,0.469,7.185,61.1,22.2,4.03,7.394,46.19856,38,0.02692426693786002,4.9675,0,0,0,0
33.4,0.032369999999999996,32.18,0.45799999999999996,6.997999999999999,45.8,21.3,2.94,9.267999999999999,11.2672,45,0.0318571299356596,6.065,1,1,0,0
36.2,0.06905,32.18,0.45799999999999996,7.147,54.2,21.3,5.33,8.824,11.2896,55,0.06677040363385242,6.0625,0,1,0,0
28.7,0.02985,32.18,0.45799999999999996,6.43,58.7,21.3,5.21,7.1739999999999995,14.2296,53,0.02941316056834955,6.0600000000000005,1,0,0,0
22.9,0.08829,37.87,0.524,6.0120000000000005,66.6,24.8,12.43,6.957999999999999,12.1832,41,0.08460765703482562,5.56,1,0,0,1
22.1,0.14455,37.87,0.524,6.172000000000001,96.1,24.8,19.15,5.8420000000000005,12.1768,56,0.1350115466558769,5.95,0,1,0,0
16.5,0.21124,37.87,0.524,5.631,100.0,24.8,29.93,5.93,12.132,55,0.19164462825480608,6.0825,1,0,0,0
18.9,0.17004,37.87,0.524,6.004,85.9,24.8,17.1,9.478,14.1512,45,0.15703793625945522,6.59,1,0,0,1
15.0,0.22489,37.87,0.524,6.377000000000001,94.3,24.8,20.45,6.0,11.12,29,0.20285104404642815,6.3475,0,1,0,0
18.9,0.11747,37.87,0.524,6.0089999999999995,82.9,24.8,13.27,9.277999999999999,13.1512,23,0.11106720150765234,6.2250000000000005,0,0,1,0
21.7,0.09378,37.87,0.524,5.888999999999999,39.0,24.8,15.71,5.534,10.1736,57,0.0896395868849593,5.452499999999999,1,0,1,0
20.4,0.62976,38.14,0.5379999999999999,5.949,61.8,19.0,8.26,5.9079999999999995,14.1632,39,0.4884327647141028,4.7075,1,0,0,0
